,date,temp_min,temp_max,effectiveRain,irrigation,sowingdays,tempoIrriga,cadRoot,etc,eto_pm,AFD,ATD,ADD,deficit,aguaComplementar,Capacidade de campo,Umidade de seguranca,Umidade do solo
0,2021-03-13,,,0.0,0.0,195,54.84,45,4.978875,5.61,0,0.0,0.0,4.978875,45.0,100,50,0.0
1,2021-03-14,17.23,24.07,0.0,0.0,196,40.98,45,4.197875,4.73,0,10.8085656582926,10.8085656582926,1.50644065829264,33.6225624649551,100,50,24.01903479620578
2,2021-03-15,,,0.0,0.0,197,43.9,45,4.5795,5.16,0,8.53208132845232,8.53208132845232,2.30301567015968,36.0188617595239,100,50,18.960180729894045
3,2021-03-16,,,0.0,0.0,198,46.2,45,4.56175,5.14,0,6.73939775341979,6.73939775341979,2.76906642496748,37.9058971016634,100,50,14.976439452043977
4,2021-03-17,,,0.0,0.0,199,48.01,45,4.535125,5.11,0,5.32852696956938,5.32852696956938,3.12425421614958,39.3910242425586,100,50,11.841171043487513
5,2021-03-18,,,0.0,0.0,200,49.44,45,4.517375,5.09,0,4.21574214670718,4.21574214670718,3.4045901771378,40.5623766876767,100,50,9.368315881571512
6,2021-03-19,,,0.0,0.0,201,50.51,45,4.197875,4.73,0,3.37526857711971,3.37526857711971,3.35740143041253,41.447085708295,100,50,7.5005968380437995
7,2021-03-20,,,0.0,0.0,202,51.44,45,4.712625,5.31,0,2.65168334925334,2.65168334925334,3.98903977213363,42.208754369207,100,50,5.892629665007422
8,2021-03-21,,,0.0,0.0,203,52.12,45,4.215625,4.75,0,2.12159816533129,2.12159816533129,3.68553981607795,42.7667387733355,100,50,4.714662589625089
9,2021-03-22,,,0.0,0.0,204,52.68,45,4.4375,5.0,0,1.68345543776142,1.68345543776142,3.99935727243013,43.2279416444617,100,50,3.741012083914266
10,2021-03-23,,,0.0,0.0,205,53.12,45,4.27775,4.82,0,1.34376588665947,1.34376588665947,3.93806044889804,43.58550959299,100,50,2.986146414798822
11,2021-03-24,16.4,28.88,0.0,0.0,206,53.47,45,4.26,4.8,0,1.07333681082947,1.07333681082947,3.98957092417001,43.8701717780742,100,50,2.385192912954378
12,2021-03-25,16.75,28.62,0.0,0.0,207,53.75,45,4.45525,5.02,0,0.85111998714448,0.85111998714448,4.23303317631501,44.1040842240585,100,50,1.8913777492099555
13,2021-03-26,15.99,28.35,0.0,3.895,208,49.23,45,4.339875,4.89,0,4.37805010392459,4.37805010392459,4.16655511678011,40.3915262063952,100,50,9.729000230943532
14,2021-03-27,15.75,28.73,0.0,2.337,209,47.52,45,4.2955,4.84,0,5.71246146435827,5.71246146435827,3.40976136043368,38.9868826690966,100,50,12.694358809685044
15,2021-03-28,17.5,29.64,0.0,0.0,210,48.99,45,4.26,4.8,0,4.56284478644036,4.56284478644036,3.11038332208209,40.1970054879575,100,50,10.139655080978578
16,2021-03-29,16.83,28.05,0.0,2.337,211,47.24,45,3.834,4.32,0,5.92549881016385,5.92549881016385,2.97650402372349,38.7626328314065,100,50,13.167775133697443
17,2021-03-30,16.69,27.91,0.0,0.0,212,48.67,45,3.834,4.32,0,4.81191909729558,4.81191909729558,2.72042028713173,39.9348220028468,100,50,10.693153549545734
18,2021-03-31,15.74,27.6,0.0,2.337,213,47.05,45,4.20675,4.74,0,6.07143903996644,6.07143903996644,3.24611994267086,38.6090115368774,100,50,13.492086755480978
19,2021-04-01,14.72,27.91,9.0,1.558,214,35.17,45,4.2245,4.76,0,15.3361925326841,15.3361925326841,3.00915349271761,28.8566394392799,100,50,34.08042785040911
20,2021-04-02,15.37,28.1,0.0,0.0,215,39.02,45,4.0825,4.6,0,12.3330984964377,12.3330984964377,1.07940596375362,32.0177910563814,100,50,27.40688554763933
21,2021-04-03,17.69,25.78,0.0,2.337,216,38.97,45,3.49675,3.94,0,12.37453598959,12.37453598959,1.31803749315235,31.9741726425368,100,50,27.49896886575555
22,2021-04-04,16.51,25.28,0.0,0.0,217,41.74,45,3.434625,3.87,0,10.2151421845774,10.2151421845774,1.27523119498735,34.2472187530765,100,50,22.700315965727558
23,2021-04-05,15.96,24.15,6.5,2.337,218,32.62,45,2.973125,3.35,0,17.3242430252862,17.3242430252862,1.36207584070887,26.763954710225,100,50,38.49831783396934
24,2021-04-06,15.19,22.97,0.0,0.0,219,36.23,45,3.10625,3.5,0,14.5054946511727,14.5054946511727,0.287501625886446,29.7310582619235,100,50,32.23443255816156
25,2021-04-07,16.17,22.95,1.5,2.337,220,34.22,45,2.7335,3.08,0,16.0730863525033,16.0730863525033,0.580941701330568,28.0809617342071,100,50,35.71796967222956
26,2021-04-08,14.76,23.76,0.0,0.0,221,37.78,45,3.381375,3.81,0,13.2982566618522,13.2982566618522,0.606545309348889,31.0018350927872,100,50,29.551681470782665
27,2021-04-09,12.4,24.03,0.0,2.337,222,38,45,3.576625,4.03,0,13.1328586555678,13.1328586555678,1.19107699371565,31.1759382572971,100,50,29.184130345706222
28,2021-04-10,11.75,24.25,0.0,0.0,223,41.09,45,3.70975,4.18,0,10.7183126677005,10.7183126677005,1.29520401213266,33.7175656129469,100,50,23.81847259489
29,2021-04-11,11.71,25.48,0.0,2.337,224,40.78,45,3.718625,4.19,0,10.9646920930273,10.9646920930273,1.7448544253268,33.458218849445,100,50,24.365982428949557
30,2021-04-12,12.45,27.05,0.0,0.0,225,43.45,45,3.896125,4.39,0,8.88212206832609,8.88212206832609,1.81355497529882,35.6503978228147,100,50,19.738049040724643
31,2021-04-13,13.15,27.15,0.0,2.337,226,42.8,45,3.99375,4.5,0,9.38766992898092,9.38766992898092,2.27914786065483,35.1182421800201,100,50,20.86148873106871
32,2021-04-14,13.82,26.15,0.0,0.0,227,44.93,45,3.505625,3.95,0,7.72641587860094,7.72641587860094,1.84437094962002,36.8669306541043,100,50,17.169813063557644
33,2021-04-15,13.93,25.2,0.0,2.337,228,43.75,45,3.266,3.68,0,8.64439679385314,8.64439679385314,1.9638309152522,35.9006349538388,100,50,19.209770653006977
34,2021-04-16,13.29,25.18,0.0,0.0,229,45.71,45,3.49675,3.94,0,7.11731457567727,7.11731457567727,1.96966778182413,37.5080899203397,100,50,15.816254612616154
35,2021-04-17,13.86,25.99,0.0,2.337,230,44.51,45,3.594375,4.05,0,8.05642012357379,8.05642012357379,2.31333054789652,36.5195577646592,100,50,17.90315583016398
36,2021-04-18,14.67,25.51,0.0,0.0,231,46.25,45,3.257125,3.67,0,6.70120633658789,6.70120633658789,1.9019112130141,37.9460985930654,100,50,14.891569636861979
37,2021-04-19,13.43,25.82,0.0,2.337,232,44.95,45,3.612125,4.07,0,7.71118701761087,7.71118701761087,2.40195568102298,36.8829610340938,100,50,17.135971150246377
38,2021-04-20,12.5,25.93,0.0,0.0,233,46.73,45,3.576625,4.03,0,6.32789240360954,6.32789240360954,2.19333038599867,38.3390606277794,100,50,14.061983119132309
39,2021-04-21,12.14,26.13,0.0,2.337,234,45.32,45,3.541125,3.99,0,7.42054769693931,7.42054769693931,2.41363029332977,37.1888971611165,100,50,16.49010599319847
40,2021-04-22,14.31,26.72,0.0,0.0,235,47.03,45,3.56775,4.02,0,6.09162863802413,6.09162863802413,2.23883094108482,38.5877593283957,100,50,13.53695252894251
41,2021-04-23,12.73,27.47,0.0,2.337,236,45.63,45,3.771875,4.25,0,7.17932079893114,7.17932079893114,2.63941716090701,37.4428202116514,100,50,15.954046219846976
42,2021-04-24,12.53,28.03,0.0,0.0,237,47.32,45,3.67425,4.14,0,5.86784230320944,5.86784230320944,2.3627715042783,38.8233238913585,100,50,13.039649562687645
43,2021-04-25,13.43,27.63,0.0,2.337,238,45.86,45,3.7275,4.2,0,7.00571010002712,7.00571010002712,2.64521779681768,37.6255683157609,100,50,15.568244666726933
44,2021-04-26,14.64,27.55,0.0,0.0,239,47.42,45,3.408,3.84,0,5.78970859140488,5.78970859140488,2.19199849137777,38.9055699037843,100,50,12.866019092010845
45,2021-04-27,16.96,25.64,0.0,2.337,240,45.71,45,2.8755,3.24,0,7.11842593998863,7.11842593998863,1.98406734858375,37.5069200631699,100,50,15.818724311085845
46,2021-04-28,13.57,27.08,0.0,0.0,241,47.31,45,3.4435,3.88,0,5.87403938255216,5.87403938255216,2.19911344256353,38.8168006499451,100,50,13.053420850115913
47,2021-04-29,13.97,25.29,0.0,0.0,242,48.53,45,3.097375,3.49,0,4.92023385510721,4.92023385510721,2.14356947255505,39.8208064683082,100,50,10.933853011349354
48,2021-04-30,15.02,22.76,0.0,0.0,243,49.29,45,2.07675,2.34,0,4.32747328285358,4.32747328285358,1.48398942774637,40.4447649654173,100,50,9.616607295230178
49,2021-05-01,14.42,21.6,0.0,0.0,244,50.05,45,2.43175,2.74,0,3.73882614639284,3.73882614639284,1.84310286353926,41.0643935301128,100,50,8.308502547539645
50,2021-05-02,12.26,23.09,0.0,0.0,245,50.85,45,3.21275,3.62,0,3.11589689014192,3.11589689014192,2.58982074374908,41.7201085366927,100,50,6.924215311426489
51,2021-05-03,10.54,24.34,0.0,0.0,246,51.52,45,3.292625,3.71,0,2.58778522963798,2.58778522963798,2.76451333949605,42.2760155477495,100,50,5.750633843639955
52,2021-05-04,11.69,24.55,0.0,0.0,247,52.09,45,3.31925,3.74,0,2.14672435699195,2.14672435699195,2.87818912735398,42.7402901505348,100,50,4.770498571093222
53,2021-05-05,11.11,25.52,0.0,0.0,248,52.54,45,3.132875,3.53,0,1.79532890395329,1.79532890395329,2.78147954696134,43.1101801011018,100,50,3.9896197865628666
54,2021-05-06,12.18,26.53,0.0,0.0,249,52.92,45,3.203875,3.61,0,1.4967864813803,1.4967864813803,2.905332577427,43.4244352827576,100,50,3.326192180845111
55,2021-05-07,12.8,26.75,0.0,0.0,250,53.25,45,3.337,3.76,0,1.24073076237411,1.24073076237411,3.08094428099381,43.6939676185536,100,50,2.7571794719424667
56,2021-05-08,13.12,26.05,0.0,0.0,251,53.52,45,3.17725,3.58,0,1.03561595104092,1.03561595104092,2.97213518866681,43.9098779462727,100,50,2.3013687800909333
57,2021-05-09,13.63,24.82,0.0,0.0,252,53.73,45,3.0885,3.48,0,0.867797622729291,0.867797622729291,2.92068167168837,44.0865288181797,100,50,1.9284391616206467
58,2021-05-10,12.24,23.79,0.0,0.0,253,53.91,45,2.99975,3.38,0,0.730060167669134,0.730060167669134,2.86201254493984,44.2315156129799,100,50,1.622355928153631
59,2021-05-11,11.15,23.74,0.0,0.0,254,54.06,45,3.0175,3.4,0,0.613695560747252,0.613695560747252,2.90113539307812,44.3540046728976,100,50,1.363767912771671
60,2021-05-12,10.6,24.31,0.0,0.0,255,54.19,45,3.195,3.6,0,0.511843328832677,0.511843328832677,3.09314776808543,44.4612175485972,100,50,1.1374296196281712
61,2021-05-13,12.52,25.29,0.0,0.0,256,54.28,45,2.671375,3.01,0,0.437160676533106,0.437160676533106,2.59669234770043,44.5398308668073,100,50,0.9714681700735688
62,2021-05-14,13.25,23.92,0.0,0.0,257,54.36,45,2.5915,2.92,0,0.374792352628195,0.374792352628195,2.52913167609509,44.6054817340756,100,50,0.8328718947293222
63,2021-05-15,13.27,23.79,0.0,0.0,258,54.43,45,2.582625,2.91,0,0.32145813219638,0.32145813219638,2.52929077956819,44.6616230187407,100,50,0.7143514048808444
64,2021-05-16,13.03,23.88,0.0,0.0,259,54.49,45,2.64475,2.98,0,0.274900038649013,0.274900038649013,2.59819190645263,44.7106315382642,100,50,0.6108889747755846
65,2021-05-17,13.4,24.71,0.0,0.0,260,54.55,45,2.92875,3.3,0,0.232010404587548,0.232010404587548,2.88586036593854,44.7557785214868,100,50,0.5155786768612178
